Natural	ADJamodNOUN	language	0
we	PRONnmod:possNOUN	effort	69
reframe	VERBrev_objNOUN	effort	69
69	ABOUT	effort	69
within	ADPcaseNOUN	framework	69
a	DETdetNOUN	framework	69
reframe	VERBrev_oblNOUN	framework	69
69	ABOUT	framework	69
of	ADPcaseNOUN	justice	69
justice	NOUNnmodNOUN	framework	69
to	PARTmarkVERB	promote	69
promote	VERBaclNOUN	framework	69
healthy	ADJamodNOUN	community	69
promote	VERBrev_objNOUN	community	69
69	ABOUT	community	69
.	PUNCTpunctVERB	argue	69
image	NOUN_PREDICATE_OF	70	70
for	ADPcaseNOUN	post	70
post	NOUNnmodNOUN	image	70
[	PUNCTpunctNOUN	article	70
related	ADJamodNOUN	article	70
article	NOUNapposNOUN	image	70
:	PUNCTpunctNOUN	article	70
best	ADJamodNOUN	Research	70
machine	NOUNcompoundNOUN	Research	70
machine	NOUNinCOMPOUND	machine Research	70
Research	NOUNinCOMPOUND	machine Research	70
70	ABOUT	machine Research	70
learning	NOUNcompoundNOUN	Research	70
learning	NOUNinCOMPOUND	learning Research	70
Research	NOUNinCOMPOUND	learning Research	70
70	ABOUT	learning Research	70
Research	NOUNapposNOUN	article	70
of	ADPcaseNUM	2019	70
2019	NUMnmodNOUN	Research	70
]	PUNCTpunctNOUN	Research	70
BERT	PROPNnsubjVERB	rediscover	71
rediscover	VERB_PREDICATE_OF	71	71
the	DETdetNOUN	pipeline	71
Classical	PROPNcompoundNOUN	pipeline	71
Classical	PROPNinCOMPOUND	Classical pipeline	71
pipeline	NOUNinCOMPOUND	Classical pipeline	71
71	ABOUT	Classical pipeline	71
nlp	NOUNcompoundNOUN	pipeline	71
nlp	NOUNinCOMPOUND	nlp pipeline	71
pipeline	NOUNinCOMPOUND	nlp pipeline	71
71	ABOUT	nlp pipeline	71
rediscover	VERBrev_objNOUN	pipeline	71
71	ABOUT	pipeline	71
pre-train	VERBamodNOUN	encoder	72
text	NOUNcompoundNOUN	encoder	72
text	NOUNinCOMPOUND	text encoder	72
encoder	NOUNinCOMPOUND	text encoder	72
72	ABOUT	text encoder	72
advanced	VERBrev_nsubjNOUN	encoder	72
72	ABOUT	encoder	72
have	AUXauxVERB	advanced	72
rapidly	ADVadvmodVERB	advanced	72
advanced	VERB_PREDICATE_OF	72	72
the	DETdetNOUN	state	72
advanced	VERBrev_objNOUN	state	72
72	ABOUT	state	72
of	ADPcaseNOUN	art	72
the	DETdetNOUN	art	72
art	NOUNnmodNOUN	state	72
on	ADPcaseNOUN	task	72
many	ADJamodNOUN	task	72
nlp	NOUNcompoundNOUN	task	72
nlp	NOUNinCOMPOUND	nlp task	72
task	NOUNinCOMPOUND	nlp task	72
72	ABOUT	nlp task	72
advanced	VERBrev_oblNOUN	task	72
72	ABOUT	task	72
.	PUNCTpunctVERB	advanced	72
this	DETdetNOUN	paper	73
focus	VERBrev_nsubjNOUN	paper	73
73	ABOUT	paper	73
focus	VERB_PREDICATE_OF	73	73
on	ADPcaseNOUN	model	73
one	NUMnummodNOUN	model	73
such	ADJamodNOUN	model	73
focus	VERBrev_oblNOUN	model	73
73	ABOUT	model	73
,	PUNCTpunctNOUN	model	73
BERT	PROPNapposNOUN	model	73
,	PUNCTpunctVERB	aim	73
and	CCONJccVERB	aim	73
aim	VERBconjVERB	focus	73
to	PARTmarkVERB	quantify	73
quantify	VERBxcompVERB	aim	73
where	ADVmarkVERB	capture	73
linguistic	ADJamodNOUN	information	73
capture	VERBrev_nsubj:passNOUN	information	73
73	ABOUT	information	73
be	AUXaux:passVERB	capture	73
capture	VERBadvclVERB	quantify	73
within	ADPcaseNOUN	network	73
the	DETdetNOUN	network	73
capture	VERBrev_oblNOUN	network	73
73	ABOUT	network	73
.	PUNCTpunctVERB	focus	73
it	PRONnsubj:passVERB	find	74
be	AUXaux:passVERB	find	74
find	VERB_PREDICATE_OF	74	74
that	SCONJmarkVERB	represent	74
the	DETdetNOUN	model	74
represent	VERBrev_nsubjNOUN	model	74
74	ABOUT	model	74
represent	VERBccompVERB	find	74
the	DETdetNOUN	step	74
represent	VERBrev_objNOUN	step	74
74	ABOUT	step	74
of	ADPcaseNOUN	pipeline	74
the	DETdetNOUN	pipeline	74
traditional	ADJamodNOUN	pipeline	74
nlp	NOUNcompoundNOUN	pipeline	74
nlp	NOUNinCOMPOUND	nlp pipeline	74
pipeline	NOUNinCOMPOUND	nlp pipeline	74
74	ABOUT	nlp pipeline	74
pipeline	NOUNnmodNOUN	step	74
in	ADPcaseNOUN	way	74
a	DETdetNOUN	way	74
interpretable	ADJamodNOUN	way	74
and	CCONJccADJ	localizable	74
localizable	ADJconjADJ	interpretable	74
represent	VERBrev_oblNOUN	way	74
74	ABOUT	way	74
,	PUNCTpunctVERB	appear	74
and	CCONJccVERB	appear	74
that	SCONJmarkVERB	appear	74
the	DETdetNOUN	region	74
appear	VERBrev_nsubjNOUN	region	74
74	ABOUT	region	74
responsible	ADJamodNOUN	region	74
for	ADPcaseNOUN	step	74
each	DETdetNOUN	step	74
responsible	ADJrev_oblNOUN	step	74
74	ABOUT	step	74
appear	VERBconjVERB	find	74
in	ADPcaseNOUN	sequence	74
the	DETdetNOUN	sequence	74
expect	VERBamodNOUN	sequence	74
appear	VERBrev_oblNOUN	sequence	74
74	ABOUT	sequence	74
:	PUNCTpunctVERB	find	74
pos	NOUNcompoundNOUN	tagging	75
pos	NOUNinCOMPOUND	pos tagging	75
tagging	NOUNinCOMPOUND	pos tagging	75
75	ABOUT	pos tagging	75
tagging	NOUN_PREDICATE_OF	75	75
,	PUNCTpunctNOUN	parsing	75
parsing	NOUNconjNOUN	tagging	75
,	PUNCTpunctNOUN	ner	75
ner	NOUNconjNOUN	tagging	75
,	PUNCTpunctNOUN	role	75
semantic	ADJamodNOUN	role	75
role	NOUNconjNOUN	tagging	75
,	PUNCTpunctNOUN	tagging	75
then	ADVadvmodNOUN	coreference	75
coreference	NOUNconjNOUN	tagging	75
.	PUNCTpunctNOUN	tagging	75
qualitative	ADJamodNOUN	analysis	76
reveal	VERBrev_nsubjNOUN	analysis	76
76	ABOUT	analysis	76
reveal	VERB_PREDICATE_OF	76	76
that	SCONJmarkAUX	can	76
the	DETdetNOUN	model	76
can	AUXrev_nsubjNOUN	model	76
76	ABOUT	model	76
can	AUXccompVERB	reveal	76
and	CCONJccVERB	adjust	76
often	ADVadvmodVERB	adjust	76
do	AUXauxVERB	adjust	76
adjust	VERBconjVERB	reveal	76
this	DETdetNOUN	pipeline	76
adjust	VERBrev_objNOUN	pipeline	76
76	ABOUT	pipeline	76
dynamically	ADVadvmodVERB	adjust	76
,	PUNCTpunctVERB	adjust	76
revise	VERBadvclVERB	adjust	76
lower	ADJamodNOUN	level	76
-	PUNCTpunctNOUN	level	76
level	NOUNcompoundNOUN	decision	76
level	NOUNinCOMPOUND	level decision	76
decision	NOUNinCOMPOUND	level decision	76
76	ABOUT	level decision	76
revise	VERBrev_objNOUN	decision	76
76	ABOUT	decision	76
on	ADPcaseNOUN	basis	76
the	DETdetNOUN	basis	76
revise	VERBrev_oblNOUN	basis	76
76	ABOUT	basis	76
of	SCONJmarkVERB	disambiguate	76
disambiguate	VERBaclNOUN	basis	76
disambiguate	VERBrev_objNOUN	information	76
76	ABOUT	information	76
from	ADPcaseNOUN	representation	76
higher	ADJamodNOUN	level	76
-	PUNCTpunctNOUN	level	76
level	NOUNcompoundNOUN	representation	76
level	NOUNinCOMPOUND	level representation	76
representation	NOUNinCOMPOUND	level representation	76
76	ABOUT	level representation	76
disambiguate	VERBrev_oblNOUN	representation	76
76	ABOUT	representation	76
.	PUNCTpunctVERB	reveal	76
